city,site_code,name
Banswara,site_5711,"Rati Talai, Banswara - RSPCB"
Sawai Madhopur,site_5716,"Sahu Nagar, Sawai Madhopur - RSPCB"
Karauli,site_5723,"Satyawati Vihar, Karauli - RSPCB"
Sivasagar,site_5658,"Girls College, Sivasagar - PCBA"
Nagaur,site_5778,"Karni Colony, Nagaur - RSPCB"
Latur,site_5780,"Sawe Wadi, Latur - MPCB"
Ahmednagar,site_5785,"Tarakpur, Ahmednagar - MPCB"
Thane,site_5797,"Kasarvadavali, Thane - MPCB"
Thane,site_5800,"Upvan Fort, Thane - MPCB"
Thane,site_305,"Pimpleshwar Mandir, Thane - MPCB"
Ulhasnagar,site_5812,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB"
Dindigul,site_5608,"Mendonsa Colony, Dindigul - TNPCB"
Dungarpur,site_5850,"Bhoiwada, Dungarpur - RSPCB"
Varanasi,site_5475,"Maldahiya, Varanasi - UPPCB"
Varanasi,site_5468,"IESD Banaras Hindu University, Varanasi - UPPCB"
Varanasi,site_5469,"Bhelupur, Varanasi - UPPCB"
Varanasi,site_273,"Ardhali Bazar, Varanasi - UPPCB"
Chhal,site_5689,"Nawapara SECL Colony, Chhal - CECB"
Balasore,site_5937,"Kalidaspur, Balasore - OSPCB"
Muzaffarnagar,site_1550,"New Mandi, Muzaffarnagar - UPPCB"
Noida,site_5122,"Sector-116, Noida - UPPCB"
Noida,site_111,"Sector - 62, Noida - IMD"
Noida,site_153,"Sector - 125, Noida - UPPCB"
Noida,site_5123,"Sector-1, Noida - UPPCB"
Begusarai,site_5540,"DRCC Anandpur, Begusarai - BSPCB"
Khurja,site_5603,"Kalindi Kunj, Khurja - UPPCB"
Rohtak,site_147,"MD University, Rohtak - HSPCB"
Amaravati,site_1406,"Secretariat, Amaravati - APPCB"
Kishanganj,site_5547,"SDM Office_Khagra, Kishanganj - BSPCB"
Rajgir,site_5489,"Dangi Tola, Rajgir - BSPCB"
Mandi Gobindgarh,site_255,"RIMT University, Mandi Gobindgarh - PPCB"
Eloor,site_5105,"Udyogamandal, Eloor - Kerala PCB"
Gandhinagar,site_5066,"Sector-10, Gandhinagar - GPCB"
Gandhinagar,site_5458,"GIFT City, Gandhinagar - IITM"
Gandhinagar,site_5457,"IIPHG Lekawada, Gandhinagar - IITM"
Patiala,site_1437,"Model Town, Patiala - PPCB"
Chamarajanagar,site_5124,"Urban, Chamarajanagar - KSPCB"
Kochi,site_5270,"Vyttila, Kochi - Kerala PCB"
Ratlam,site_5042,"Shasthri Nagar, Ratlam - IPCA Lab"
Bhiwani,site_5047,"H.B. Colony, Bhiwani - HSPCB"
Davanagere,site_5422,"Devaraj Urs Badavane, Davanagere - KSPCB"
Koppal,site_5415,"Diwator Nagar, Koppal - KSPCB"
Thrissur,site_5390,"Corporation Ground, Thrissur - Kerala PCB"
Gorakhpur,site_5472,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB"
Singrauli,site_1401,"Suryakiran Bhawan NCL, Singrauli - MPPCB"
Chikkaballapur,site_1557,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
Rupnagar,site_1538,"Ratanpura, Rupnagar - Ambuja Cements"
Naharlagun,site_5446,"Naharlagun, Naharlagun - APSPCB"
Fatehabad,site_5054,"Huda Sector, Fatehabad - HSPCB"
Chengalpattu,site_5605,"Crescent University, Chengalpattu - TNPCB"
Ooty,site_5624,"Bombay Castel, Ooty - TNPCB"
Nayagarh,site_5674,"Dabuna, Nayagarh - OSPCB"
Kadapa,site_5693,"Yerramukkapalli, Kadapa - APPCB"
Baghpat,site_1569,"New Collectorate, Baghpat - UPPCB"
Baghpat,site_5585,"Sardar Patel Inter College, Baghpat - UPPCB"
Nagaon,site_5706,"Christianpatty, Nagaon - PCBA"
Dausa,site_5713,"Khatikan Mohalla, Dausa - RSPCB"
Rajsamand,site_5718,"Dhoinda, Rajsamand - RSPCB"
Bhilwara,site_5770,"Pratap Nagar, Bhilwara - RSPCB"
Baran,site_5775,"Bamboliya, Baran - RSPCB"
Amravati,site_5787,"Shri Shivaji Science College, Amaravati - MPCB"
Amravati,site_5786,"Shivneri Colony, Amravati - MPCB"
Parbhani,site_5794,"Masoom Colony, Parbhani - MPCB"
Malegaon,site_5802,"Mahesh Nagar, Malegaon - MPCB"
Asansol,site_1418,"Asansol Court Area, Asansol - WBPCB"
Imphal,site_5592,"DM College of Science, Imphal - Manipur PCB"
Imphal,site_5591,"Manipur University, Imphal - Manipur PCB"
Angul,site_5939,"Hakimapada, Angul - OSPCB"
Cuttack,site_5941,"CDA Area, Cuttack - OSPCB"
Hapur,site_5023,"Anand Vihar, Hapur - UPPCB"
Darbhanga,site_5477,"Town Hall - Lal Bagh, Darbhanga - BSPCB"
Hosur,site_5612,"SIPCOT Phase-1, Hosur - TNPCB"
Panchkula,site_161,"Sector-6, Panchkula - HSPCB "
Buxar,site_5542,"Charitra Van, Buxar - BSPCB (Formerly known as Central Jail)"
Ankleshwar,site_5065,"GIDC, Ankleshwar - GPCB"
Vijayapura,site_5267,"Ibrahimpur, Vijayapura - KSPCB"
Ajmer,site_1392,"Civil Lines,  Ajmer - RSPCB"
Udaipur,site_1397,"Ashok Nagar, Udaipur - RSPCB"
Katni,site_5250,"Gole Bazar, Katni - MPPCB"
Ramanagara,site_5255,"Vijay Nagar, Ramanagara - KSPCB"
Kaithal,site_5072,"Rishi Nagar, Kaithal - HSPCB"
Kohima,site_5375,"PWD Juction, Kohima - NPCB"
Mangalore,site_5421,"Kadri, Mangalore - KSPCB"
Raichur,site_5414,"Haji Colony, Raichur - KSPCB"
Udupi,site_5433,"Brahmagiri, Udupi - KSPCB"
Gadag,site_5419,"Panchal Nagar, Gadag - KSPCB"
Manesar,site_5039,"Sector-2 IMT, Manesar - HSPCB"
Bettiah,site_5476,"Kamalnath Nagar, Bettiah - BSPCB"
Vrindavan,site_5483,"Omex Eternity, Vrindavan - UPPCB"
Bathinda,site_1549,"Hardev Nagar, Bathinda - PPCB"
Munger,site_5490,"Town Hall, Munger - BSPCB"
Siwan,site_5553,"Chitragupta Nagar, Siwan - BSPCB"
Katihar,site_5546,"Mirchaibari, Katihar - BSPCB"
Khanna,site_1450,"Kalal Majra, Khanna - PPCB"
Araria,site_5539,"Kharahiya Basti, Araria - BSPCB"
Kolar,site_1551,"Tamaka Ind. Area, Kolar - KSPCB"
Ballabgarh,site_5060,"Nathu Colony, Ballabgarh - HSPCB"
Yamuna Nagar,site_5046,"Gobind Pura, Yamuna Nagar - HSPCB"
Bilaspur,site_5503,"Mangala, Bilaspur - NTPC"
Bileipada,site_5673,"Tata Township, Bileipada - OSPCB"
Tumidih,site_5692,"OP Jindal Industrial Park, Tumidih - CECB"
Dholpur,site_5700,"Raja Ganj, Dholpur - RSPCB"
Sirohi,site_5705,"Vedhaynath Colony, Sirohi - RSPCB"
Chittorgarh,site_5712,"Shastri Nagar, Chittorgarh - RSPCB"
Jhunjhunu,site_5717,"Indra Nagar, Jhunjhunu - RSPCB"
Jhalawar,site_5724,"Rajlaxmi Nagar, Jhalawar - RSPCB"
Hajipur,site_5337,"Industrial Area, Hajipur - BSPCB"
Sangli,site_5774,"Vijay Nagar, Sangli - MPCB"
Badlapur,site_5798,"Katrap, Badlapur - MPCB"
Dhule,site_5801,"Deopur, Dhule - MPCB"
Mira-Bhayandar,site_5806,"Bhayandar West, Mira-Bhayandar - MPCB"
Haldia,site_300,"Priyambada Housing Estate, Haldia - WBPCB"
Jalore,site_5851,"Mudtra Sili, Jalore - RSPCB"
Ujjain,site_1400,"Mahakaleshwar Temple, Ujjain - MPPCB"
Barbil,site_5938,"Forest Office, Barbil - OSPCB"
Nandesari,site_5274,"GIDC, Nandesari - Nandesari Ind. Association"
Bhiwandi,site_5813,"Gokul Nagar, Bhiwandi - MPCB"
Jorapokhar,site_254,"Tata Stadium, Jorapokhar - JSPCB"
Pathardih,site_5832,"Mohalbani Ghat, Pathardih - DMC"
Narnaul,site_5053,"Shastri Nagar, Narnaul - HSPCB"
Sonipat,site_5041,"Murthal, Sonipat - HSPCB"
Tiruchirappalli,site_5630,"St Joseph College, Tiruchirappalli - TNPCB"
